Name,Yahoo Ticker,Date Added,Note
VSSL,VSSL.NS,2026-08-31,
Arvind Ltd,ARVIND.NS,2026-08-31,
Welspun Enterprises,WELENT.NS,2026-08-31,
Fineotex Chemical,FCL.NS,2026-08-31,
BLS E-Services,BLSE.NS,2026-08-31,
IG Petrochemicals,IGPL.NS,2026-08-31,
Sona BLW Precision Forgings,SONACOMS.NS,2026-08-31,
Grasim,GRASIM.NS,2026-08-31,
Bosch,BOSCHLTD.NS,2026-08-31,
Nykaa,NYKAA.NS,2026-08-31,
Tamilnad Mercantile Bank,TMB.NS,2026-08-31,
Lumax Auto Technologies,LUMAXTECH.NS,2026-08-31,
